"CUST_ID","LAST_NAME","FIRST_NAME","EMAIL","STREET_ADDRESS","POSTAL_CODE","CITY","STATE_PROVINCE","COUNTRY","COUNTRY_CODE","CONTINENT","YRS_CUSTOMER","PROMOTION_RESPONSE","LOC_LAT","LOC_LONG","AGE","COMMUTE_DISTANCE","CREDIT_BALANCE","EDUCATION","FULL_TIME","GENDER","HOUSEHOLD_SIZE","INCOME","INCOME_LEVEL","INSUFF_FUNDS_INCIDENTS","JOB_TYPE","LATE_MORT_RENT_PMTS","MARITAL_STATUS","MORTGAGE_AMT","NUM_CARS","NUM_MORTGAGES","PET","RENT_OWN","SEGMENT_ID","WORK_EXPERIENCE","YRS_CURRENT_EMPLOYER","YRS_RESIDENCE"
1351938,"Colletti","Varlen","varlen.colletti@oraclemail.com","35 Via Monte Pasubio","28040","Oleggio Castello","Novara","Italy","IT","Europe",1,0,45.74342,8.52356,43,38,12,"LessThanHS","Yes","Male",2,11997,"A: Below 30,000",0,"Professional",2,"M",0,1,0,"Unknown","Rent",6,1,1,15
1349113,"Tescari","Sara","sara.tescari@oraclemail.com","Via Generale Giuseppe Arimondi","90143","Palermo","Palermo","Italy","IT","Europe",5,0,38.13694,13.35174,26,8,760,"Masters","No","Female",4,76114.4,"D: 70,000 - 89,999",0,"Services",1,"M",0,2,0,"Unknown","Rent",3,4,3,2
1350022,"Gasso","Chance","chance.gasso@oraclemail.com","Via Passeggiata Archeologica","80053","Castellammare Di Stabia","Napoli","Italy","IT","Europe",4,0,40.69813,14.49285,37,8,331,"High School","No","Male",4,73431.6,"D: 70,000 - 89,999",1,"Business",1,"M",270000,2,2,"Other","Own",3,16,6,4
1352509,"Chili","Ira","ira.chili@oraclemail.com","16 Via Dell'Angelo Custode","55100","Lucca","Lucca","Italy","IT","Europe",9,0,43.84313,10.50776,44,17,307,"Masters","Yes","Male",1,35950.8,"B: 30,000 - 49,999",1,"Business",2,"S",0,1,0,"Unknown","Rent",6,15,4,19
1355708,"De Giovanni","Bikas","bikas.de giovanni@oraclemail.com","11 Via Baganza","43125","Parma","Parma","Italy","IT","Europe",2,0,44.78745,10.31674,27,1,790,"High School","No","Male",4,36473,"B: 30,000 - 49,999",1,"Sales",1,"M",0,2,0,"Other","Rent",3,6,2,2
1333839,"Falconieri","Shakro","shakro.falconieri@oraclemail.com","Via Callalta","31039","Riese Pio X","Treviso","Italy","IT","Europe",8,0,45.72857,11.91259,50,9,185,"Associates","Yes","Male",1,34405.5,"B: 30,000 - 49,999",2,"Professional",1,"S",180000,1,1,"Unknown","Own",6,27,7,20
1356265,"Polandi","Portier","portier.polandi@oraclemail.com","Piazza Carlo Felice","10121","Torino","Torino","Italy","IT","Europe",4,0,45.06422,7.67963,24,3,339,"High School","No","Male",4,34645.2,"B: 30,000 - 49,999",1,"Business",1,"M",0,2,0,"Other","Rent",3,3,2,2
1333840,"Ghislieri","Anshul","anshul.ghislieri@oraclemail.com","189 Via Ostiense","00154","Roma","Roma","Italy","IT","Europe",6,0,41.86041,12.47859,49,27,177,"Bachelors","Yes","Male",5,111296.4,"F: Above 110,000",0,"Business",0,"M",110000,2,2,"Other","Own",6,2,2,1
1356267,"Farentino","Galina","galina.farentino@oraclemail.com","35 Viale Tunisia","20124","Milano","Milano","Italy","IT","Europe",3,0,45.47914,9.20143,34,1,110,"Associates","No","Female",5,33227.5,"B: 30,000 - 49,999",0,"Labor",2,"M",0,2,0,"Unknown","Rent",3,7,1,3
1333854,"Bertone","Jugala","jugala.bertone@oraclemail.com","Piazza Maria Santissima Di Costantinopoli","70021","Acquaviva Delle Fonti","Bari","Italy","IT","Europe",6,0,40.8968,16.84325,44,22,145,"Masters","Yes","Male",3,89235.2,"D: 70,000 - 89,999",0,"Services",0,"M",300000,2,2,"Dog","Own",6,4,4,11
1350035,"Scarabelli","Annan","annan.scarabelli@oraclemail.com","22 Via Torrione","84127","Salerno","Salerno","Italy","IT","Europe",3,0,40.67302,14.77661,33,3,39,"LessThanHS","No","Male",3,21001.5,"A: Below 30,000",0,"Labor",0,"M",0,1,0,"Unknown","Rent",3,1,1,3
